year,GDPpc,consumption,"Population, total",consumptionpc
1974,3241.302964,25355333285,15153602,1673.221541
1975,3281.180736,28643523030,15724692,1821.563375
1976,3389.151596,30715127634,16500516,1861.464674
1977,3435.440437,33364872388,17134192,1947.268502
1978,3645.945942,33659695711,17632645,1908.941949
1979,3803.328191,38674149009,18166981,2128.815405
1980,3716.305888,41219864940,18739378,2199.638907
1981,3706.742421,44641114326,19351357,2306.872553
1982,3816.044213,45935705676,20000096,2296.774259
1983,3889.47726,48737783007,20682111,2356.518781
1984,3970.704379,51369625641,21393530,2401.175759
1985,3980.066517,53732625677,22132905,2427.725853
1986,3865.075577,52657974568,22882553,2301.228126
1987,3723.536134,49709128048,23586101,2107.560213
1988,3586.412283,47273380431,24243018,1949.979183
1989,3646.960928,49967964555,24889507,2007.591575
1990,3585.585203,48818700452,25518074,1913.102864
1991,3459.079738,47305318830,26133905,1810.11291
1992,3440.459383,50190945619,26748303,1876.416071
1993,3293.588393,49237316565,27354327,1799.982744
1994,3195.870451,49631215016,27937006,1776.540228
1995,3254.292144,50971258956,28478022,1789.84548
1996,3328.505366,50767373741,28984634,1751.527162
1997,3309.018787,50361235083,29476031,1708.548722
1998,3425.639263,51569904140,29924668,1723.324187
1999,3486.165743,53013412445,30346083,1746.960636
2000,3568.250314,54973736359,30774621,1786.333497
2001,3625.074579,55963263613,31200985,1793.637721
2002,3769.636743,58929316585,31624696,1863.395512
2003,3960.661482,61404347882,32055883,1915.540679
2004,4081.053662,64228947884,32510186,1975.656118
2005,4243.153896,66605418956,32956690,2020.998436
2006,4303.733578,69203030295,33435080,2069.773133
2007,4365.501344,72663181810,33983827,2138.169483
2008,4398.818288,77168299082,34569592,2232.259469
2009,4372.371178,82724416616,35196037,2350.390091
2010,4497.861365,87605157196,35856344,2443.226147
2011,4545.677998,92423440842,36543541,2529.132052
2012,4565.200327,98061270734,37260563,2631.771043
2013,4592.67657,1.03455E+11,38000626,2722.445694
2014,4687.288575,1.08834E+11,38760168,2807.88984
2015,4741.49977,1.13188E+11,39543154,2862.383036
2016,4829.185829,1.15904E+11,40339329,2873.229669
2017,4806.631255,1.18106E+11,41136546,2871.08052
2018,4782.034707,1.21177E+11,41927007,2890.192009
2019,4737.129774,1.24085E+11,42705368,2905.61484
2020,4422.979472,1.19866E+11,43451666,2758.615725
2021,4515.573999,1.21664E+11,44177969,2753.961954
2022,4602.575608,1.25679E+11,44903225,2798.894122
2023,4717.399329,1.30078E+11,45606480,2852.185711
